top - 16:55:14 up  2:41,  1 user,  load average: 0.80, 0.56, 0.42
Tasks: 400 total,   1 running, 399 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.6 us,  0.7 sy,  0.0 ni, 96.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  39858.0 total,  28563.6 free,   4941.3 used,   6353.0 buff/cache
MiB Swap:  15259.0 total,  15259.0 free,      0.0 used.  31980.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     82 root      rt   0       0      0      0 S   0.0   0.0   0:00.21 migration/11
     83 root      20   0       0      0      0 S   0.0   0.0   0:00.27 ksoftirqd/11
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-events_highpri
     86 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/12
     88 root      rt   0       0      0      0 S   0.0   0.0   0:00.21 migration/12
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.25 ksoftirqd/12
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/12:0H-events_highpri
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     93 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/13
     94 root      rt   0       0      0      0 S   0.0   0.0   0:00.21 migration/13
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.25 ksoftirqd/13
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/13:0H-events_highpri
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/14
    100 root      rt   0       0      0      0 S   0.0   0.0   0:00.21 migration/14
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.25 ksoftirqd/14
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/14:0H-kblockd
    104 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/15
    106 root      rt   0       0      0      0 S   0.0   0.0   0:00.21 migration/15
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.24 ksoftirqd/15
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/15:0H-events_highpri
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
    112 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    113 root      20   0       0      0      0 S   0.0   0.0   0:00.03 khungtaskd
    115 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
    118 root      20   0       0      0      0 S   0.0   0.0   0:00.36 kcompactd0
    119 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    120 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
    124 root      20   0       0      0      0 I   0.0   0.0   0:01.05 kworker/6:1-events
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
    131 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    132 root      20   0       0      0      0 I   0.0   0.0   0:01.17 kworker/8:1-events
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker/6:1H-events_highpri
    134 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    135 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthread
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    149 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-pciehp
    150 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125-pciehp
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    152 root      20   0       0      0      0 S   0.0   0.0   0:00.00 xenbus_probe
    153 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd-clea
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    155 root       0 -20       0      0      0 I   0.0   0.0   0:00.17 kworker/8:1H-events_highpri
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    163 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker/4:1-mm_percpu_wq
    164 root      20   0       0      0      0 I   0.0   0.0   0:00.54 kworker/13:1-events
    171 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    223 root      20   0       0      0      0 I   0.0   0.0   0:00.81 kworker/2:1-events
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.08 kworker/11:1H-kblockd
    274 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/4:1H-events_highpri
    275 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    276 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    277 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    295 root     -51   0       0      0      0 S   0.0   0.0   0:01.66 irq/150-ELAN1203:00
    296 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/4:2-events
    299 root      20   0       0      0      0 I   0.0   0.0   0:00.63 kworker/10:1-mm_percpu_wq
    300 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker/5:1H-kblockd
    302 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker/1:1H-kblockd
    303 root       0 -20       0      0      0 I   0.0   0.0   0:00.25 kworker/7:1H-events_highpri
    306 root      20   0       0      0      0 I   0.0   0.0   0:00.44 kworker/15:2-events
    307 root       0 -20       0      0      0 I   0.0   0.0   0:00.12 kworker/10:1H-kblockd
    308 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/3:1H-events_highpri
    309 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker/13:1H-events_highpri
    336 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker/14:1H-kblockd
    338 root      20   0       0      0      0 S   0.0   0.0   0:00.76 jbd2/nvme1n1p4-8
    339 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    343 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/2:1H-kblockd
    376 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker/0:1H-events_highpri
    381 root      19  -1  113664  58028  56468 S   0.0   0.1   0:00.93 systemd-journal
    403 root      20   0       0      0      0 I   0.0   0.0   0:00.81 kworker/1:2-mm_percpu_wq
    440 root      20   0   26976   7344   4748 S   0.0   0.0   0:00.17 systemd-udevd
    442 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/9:1H-kblockd
    499 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 asus_wireless_w
    506 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 led_workqueue
    508 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker/15:1H-kblockd
    515 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/175-mei_me
    519 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker/12:1H-kblockd
    538 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    608 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    659 systemd+  20   0   14824   6304   5512 S   0.0   0.0   0:10.85 systemd-oomd
    660 systemd+  20   0   26056  14556   9704 S   0.0   0.0   0:01.06 systemd-resolve
    661 systemd+  20   0   89376   6636   5776 S   0.0   0.0   0:00.07 systemd-timesyn
    695 root      20   0       0      0      0 S   0.0   0.0   0:03.82 napi/phy0-8194
    696 root      20   0       0      0      0 S   0.0   0.0   0:00.17 napi/phy0-8195
    697 root      20   0       0      0      0 S   0.0   0.0   0:03.26 napi/phy0-8196
    699 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    700 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    701 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    702 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc3
    748 root      20   0  248812   7892   6864 S   0.0   0.0   0:00.30 accounts-daemon
    749 root      20   0    2812   1140   1048 S   0.0   0.0   0:00.32 acpid
    752 avahi     20   0    7628   3740   3404 S   0.0   0.0   0:00.07 avahi-daemon
    753 root      20   0   10600   5096   4704 S   0.0   0.0   0:00.03 bluetoothd
    754 root      20   0   18148   3016   2768 S   0.0   0.0   0:00.01 cron
    756 message+  20   0   11256   6940   4176 S   0.0   0.0   0:02.24 dbus-daemon
    763 root      20   0   82848   3920   3568 S   0.0   0.0   0:00.75 irqbalance
    764 root      20   0   49728  20840  11556 S   0.0   0.1   0:00.04 networkd-dispat
    765 root      20   0  251456  11076   7592 S   0.0   0.0   0:00.16 polkitd
    766 root      20   0  248848   7844   7044 S   0.0   0.0   0:00.00 power-profiles-
    767 syslog    20   0  222400   6148   4544 S   0.0   0.0   0:00.23 rsyslogd
    769 root      20   0 1982864  37572  19500 S   0.0   0.1   0:01.81 snapd
    770 root      20   0  245212   6996   6292 S   0.0   0.0   0:00.02 switcheroo-cont
    772 root      20   0   48280   8356   7076 S   0.0   0.0   0:00.14 systemd-logind
    774 root      20   0  284840   9520   8652 S   0.0   0.0   0:01.24 thermald
    778 root      20   0  393444  13636  10656 S   0.0   0.0   0:00.06 udisksd
    780 root      20   0   17996  12296  10016 S   0.0   0.0   0:00.74 wpa_supplicant
    789 avahi     20   0    7440    336      0 S   0.0   0.0   0:00.00 avahi-daemon
    860 root      20   0  243292  12152  10308 S   0.0   0.0   0:00.03 ModemManager
    862 root      20   0  248896   7892   7160 S   0.0   0.0   0:00.03 boltd
    891 root      20   0       0      0      0 I   0.0   0.0   0:00.83 kworker/12:2-mm_percpu_wq
    896 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    897 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    909 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-modeset/kthread_q
    910 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-modeset/deferred_close_kthread_q
    912 root     -51   0       0      0      0 S   0.0   0.0   0:00.05 irq/178-nvidia
    913 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
    914 root      20   0       0      0      0 S   0.0   0.0   0:00.07 nv_queue
    942 root      20   0  343692  19844  16044 S   0.0   0.0   0:02.68 NetworkManager
    947 root      20   0   81636  13924  11804 S   0.0   0.0   0:00.01 cupsd
    951 root      20   0  126808  23544  14852 S   0.0   0.1   0:00.05 unattended-upgr
    957 root      20   0   15420   8864   7292 S   0.0   0.0   0:00.00 sshd
    968 root      20   0       0      0      0 I   0.0   0.0   0:00.65 kworker/9:2-events
   1003 root      20   0  251020   9092   7792 S   0.0   0.0   0:00.15 upowerd
   1024 root      -2   0       0      0      0 S   0.0   0.0   0:01.35 mt76-tx phy0
   1143 root      20   0  249880   9412   8108 S   0.0   0.0   0:00.01 gdm3
   1151 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM global queue
   1152 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM deferred release queue
   1153 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Tools Event Queue
   1157 nvidia-+  20   0    5304   1812   1656 S   0.0   0.0   0:00.00 nvidia-persiste
   1204 root      20   0  326576  11156   9420 S   0.0   0.0   0:00.02 gdm-session-wor
   1303 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/10:2-events
   1304 mark      20   0   18136  11012   8208 S   0.0   0.0   0:00.41 systemd
   1305 mark      20   0  170096   4304     20 S   0.0   0.0   0:00.00 (sd-pam)
   1339 mark       9 -11   48504   6760   5548 S   0.0   0.0   0:00.02 pipewire
   1340 mark      20   0   32260   6436   5336 S   0.0   0.0   0:00.01 pipewire-media-
   1341 mark       9 -11 1506992  28844  20784 S   0.0   0.1   0:02.41 pulseaudio
   1357 mark      20   0  397184   8536   7136 S   0.0   0.0   0:00.16 gnome-keyring-d
   1360 rtkit     21   1  154000   1540   1320 S   0.0   0.0   0:00.09 rtkit-daemon
   1391 mark      20   0    9952   6296   4224 S   0.0   0.0   0:02.07 dbus-daemon
   1393 mark      20   0  249288   8104   7192 S   0.0   0.0   0:00.03 gvfsd
   1396 mark      20   0  471820   7312   6616 S   0.0   0.0   0:00.05 xdg-document-po
   1403 mark      20   0  244800   5332   4924 S   0.0   0.0   0:00.00 xdg-permission-
   1409 mark      20   0  380884   6416   5812 S   0.0   0.0   0:00.00 gvfsd-fuse
   1412 root      20   0    2792   1012    920 S   0.0   0.0   0:00.00 fusermount3
   1426 mark      20   0  171080   6348   5832 S   0.0   0.0   0:00.00 gdm-x-session
   1428 mark      20   0   26.4g 151228  92960 S   0.0   0.4   3:26.76 Xorg
   1440 mark      39  19  642184  27620  18780 S   0.0   0.1   0:00.22 tracker-miner-f
   1447 mark      20   0  324728   9608   7680 S   0.0   0.0   0:00.03 gvfs-udisks2-vo
   1452 mark      20   0  246196   7260   6452 S   0.0   0.0   0:00.01 gvfs-gphoto2-vo
   1456 mark      20   0  245104   6788   6196 S   0.0   0.0   0:00.01 gvfs-mtp-volume
   1466 mark      20   0  245904   7092   6404 S   0.0   0.0   0:00.01 gvfs-goa-volume
   1470 mark      20   0  647324  75776  36028 S   0.0   0.2   0:00.99 goa-daemon
   1480 mark      20   0  347044  15484  13484 S   0.0   0.0   0:00.13 goa-identity-se
   1484 mark      20   0  323864   8244   7220 S   0.0   0.0   0:00.40 gvfs-afc-volume
