0 405.582031
1 706.789062
2 1596.828125
3 1628.250000
4 1621.886719
5 1600.957031
6 1620.003906
7 1620.257812
8 1632.164062
9 1622.000000
10 1611.000000
11 1636.390625
12 1605.000000
13 1618.875000
14 1626.875000
15 1738.109375
16 1814.957031
17 1824.507812
18 1802.125000
19 1848.750000
20 1853.875000
21 1809.171875
22 1850.500000
23 1853.250000
24 1796.972656
25 1834.328125
26 1855.375000
27 1466.664062
28 36.457031
29 0.125000
30 0.187500
34 0.015625
36 0.089844
37 0.007812
39 4.003906
41 0.074219
43 0.019531
44 21.214844
47 0.007812
49 28.597656
50 0.050781
55 9.503906
56 0.050781
57 0.007812
63 0.031250
65 0.128906
67 0.007812
69 0.097656
70 0.011719
74 0.031250
75 0.191406
77 0.007812
80 0.011719
81 0.031250
85 0.003906
86 0.039062
87 0.007812
91 0.296875
93 0.007812
94 0.070312
96 2.234375
97 0.156250
98 0.292969
100 0.527344
101 0.031250
103 0.070312
104 0.062500
106 0.023438
107 0.007812
108 0.015625
109 0.183594
110 0.046875
114 0.304688
115 0.031250
116 0.101562
117 0.007812
118 0.128906
122 0.199219
123 0.472656
125 0.070312
127 0.007812
128 0.074219
129 0.144531
131 0.324219
134 0.109375
135 0.078125
137 0.007812
140 0.144531
141 0.359375
145 0.097656
146 0.378906
147 0.007812
148 0.089844
151 0.230469
152 0.597656
157 0.484375
158 0.085938
159 0.117188
161 0.093750
163 0.039062
166 0.054688
167 0.007812
168 0.066406
170 0.066406
172 0.101562
176 0.082031
177 0.246094
178 0.078125
182 0.050781
184 0.015625
187 0.007812
188 0.015625
191 0.031250
194 0.023438
195 0.046875
197 0.007812
199 0.070312
202 0.046875
203 0.003906
204 0.082031
207 0.007812
208 0.042969
210 0.046875
211 0.195312
213 0.046875
216 0.183594
217 0.007812
218 0.187500
219 0.062500
221 0.378906
222 0.199219
226 0.105469
227 0.175781
228 0.046875
230 0.066406
231 0.007812
232 0.125000
233 0.003906
234 0.054688
235 0.179688
237 0.007812
238 0.628906
241 0.105469
242 0.074219
245 0.105469
246 0.117188
