Linux 5.19.0-43-generic (lsl-PC) 	06/10/2023 	_x86_64_	(16 CPU)

12:30:22 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:31:52 AM     all      2.78      0.00      0.88      0.00      0.00     96.34
12:31:53 AM     all      3.72      0.00      0.57      0.00      0.00     95.71
12:31:54 AM     all      0.94      0.00      0.19      0.00      0.00     98.87
12:31:55 AM     all      3.37      0.00      0.45      0.00      0.00     96.18
12:31:56 AM     all      0.95      0.00      0.44      0.00      0.00     98.61
12:31:57 AM     all      1.64      0.00      0.89      0.00      0.00     97.47
12:31:58 AM     all      1.59      0.00      0.25      0.00      0.00     98.15
12:31:59 AM     all      1.21      0.00      0.51      0.00      0.00     98.29
12:32:00 AM     all      1.01      0.00      0.57      0.00      0.00     98.42
12:32:01 AM     all      6.37      0.00      1.46      0.00      0.00     92.17
12:32:02 AM     all      1.65      0.00      0.76      0.00      0.00     97.58
12:32:03 AM     all      1.32      0.00      0.69      0.06      0.00     97.92
12:32:04 AM     all      1.46      0.00      0.25      0.00      0.00     98.28
12:32:05 AM     all      2.14      0.00      0.82      0.00      0.00     97.04
12:32:06 AM     all      2.70      0.00      0.31      0.00      0.00     96.98
12:32:07 AM     all      0.94      0.00      0.38      0.00      0.00     98.68
12:32:08 AM     all      0.94      0.00      0.25      0.00      0.00     98.81
12:32:09 AM     all      3.57      0.00      1.13      0.06      0.00     95.24
12:32:10 AM     all      1.50      0.00      0.56      0.00      0.00     97.94
12:32:11 AM     all      1.26      0.00      0.25      0.00      0.00     98.48
12:32:12 AM     all      2.90      0.00      0.38      0.00      0.00     96.72
12:32:13 AM     all      2.69      0.00      0.56      0.00      0.00     96.75
12:32:14 AM     all      2.33      0.00      0.63      0.00      0.00     97.04
12:32:15 AM     all      1.32      0.00      0.81      0.81      0.00     97.06
12:32:16 AM     all      0.38      0.00      0.19      0.25      0.00     99.18
12:32:17 AM     all      3.44      0.00      1.78      0.06      0.00     94.72
12:32:18 AM     all      2.28      0.00      0.38      0.00      0.00     97.34
12:32:19 AM     all      1.71      0.00      0.57      0.00      0.00     97.72
12:32:20 AM     all      4.44      0.00      0.57      0.00      0.00     94.99
12:32:21 AM     all      1.13      0.00      0.57      0.00      0.00     98.30
12:32:22 AM     all      1.01      0.00      0.44      0.00      0.00     98.55
Average:        all      1.36      0.00      0.45      0.03      0.00     98.15
