0 3407
1 5733
2 12775
3 13026
4 13013
5 12808
6 12961
7 12964
8 13107
9 12954
10 12888
11 13092
12 12840
13 12951
14 12927
15 13904
16 14521
17 14598
18 14417
19 14790
20 14831
21 14475
22 14804
23 14826
24 14399
25 14682
26 14843
27 11737
28 371
29 13
30 16
34 4
36 5
37 2
39 17
41 2
43 3
44 127
47 2
49 129
50 3
55 42
56 2
57 2
63 2
65 14
67 2
69 4
70 2
74 2
75 42
77 2
80 3
81 2
85 1
86 8
87 2
91 38
93 1
94 7
96 121
97 5
98 65
100 121
101 1
103 2
104 16
106 5
107 2
108 4
109 3
110 8
114 43
115 3
116 25
117 2
118 9
122 33
123 7
125 3
127 2
128 19
129 6
131 38
134 27
135 3
137 2
140 23
141 2
145 3
146 49
147 2
148 3
151 27
152 27
157 11
158 20
159 12
161 3
163 10
166 2
167 2
168 3
170 17
172 3
176 21
177 30
178 6
182 13
184 2
187 2
188 4
191 2
194 6
195 3
197 2
199 3
202 3
203 1
204 3
207 2
208 3
210 3
211 21
213 3
216 6
217 2
218 24
219 3
221 4
222 41
226 27
227 7
228 9
230 3
231 2
232 12
233 1
234 3
235 21
237 2
238 44
241 3
242 3
245 3
246 12
